"site","watershed","elevation","n.pools","basin.area","reliability","n.Neighbors","pdsi6mo.s96","pdsi6mo.w96","pdsi6mo.s97","pdsi6mo.w97","pdsi6mo.s98","pdsi6mo.w98","pdsi6mo.s99","pdsi6mo.w99","pdsi6mo.s00","pdsi6mo.w00","pdsi6mo.s01","pdsi6mo.w01","pdsi6mo.s02","pdsi6mo.w02","pdsi6mo.s03","pdsi6mo.w03","pdsi6mo.s04","pdsi6mo.w04","pdsi6mo.s05","pdsi6mo.w05","pdsi6mo.s06","pdsi6mo.w06","pdsi6mo.s07","pdsi6mo.w07","pdsi6mo.s08","pdsi6mo.w08","pdsi6mo.s09","pdsi6mo.w09","pdsi6mo.s10","pdsi6mo.w10","pdsi6mo.s11","pdsi6mo.w11","pdsi6mo.s12","pdsi6mo.w12","pdsi6mo.s13","pdsi6mo.w13","pdsi6mo.s14","pdsi6mo.w14","pdsi6mo.s15","pdsi6mo.w15","pdsi6mo.s16","pdsi6mo.w16","pdsiJA.s96","pdsiJA.w96","pdsiJA.s97","pdsiJA.w97","pdsiJA.s98","pdsiJA.w98","pdsiJA.s99","pdsiJA.w99","pdsiJA.s00","pdsiJA.w00","pdsiJA.s01","pdsiJA.w01","pdsiJA.s02","pdsiJA.w02","pdsiJA.s03","pdsiJA.w03","pdsiJA.s04","pdsiJA.w04","pdsiJA.s05","pdsiJA.w05","pdsiJA.s06","pdsiJA.w06","pdsiJA.s07","pdsiJA.w07","pdsiJA.s08","pdsiJA.w08","pdsiJA.s09","pdsiJA.w09","pdsiJA.s10","pdsiJA.w10","pdsiJA.s11","pdsiJA.w11","pdsiJA.s12","pdsiJA.w12","pdsiJA.s13","pdsiJA.w13","pdsiJA.s14","pdsiJA.w14","pdsiJA.s15","pdsiJA.w15","pdsiJA.s16","pdsiJA.w16","precip.s96","precip.w96","precip.s97","precip.w97","precip.s98","precip.w98","precip.s99","precip.w99","precip.s00","precip.w00","precip.s01","precip.w01","precip.s02","precip.w02","precip.s03","precip.w03","precip.s04","precip.w04","precip.s05","precip.w05","precip.s06","precip.w06","precip.s07","precip.w07","precip.s08","precip.w08","precip.s09","precip.w09","precip.s10","precip.w10","precip.s11","precip.w11","precip.s12","precip.w12","precip.s13","precip.w13","precip.s14","precip.w14","precip.s15","precip.w15","precip.s16","precip.w16","sed.s96","sed.w96","sed.s97","sed.w97","sed.s98","sed.w98","sed.s99","sed.w99","sed.s00","sed.w00","sed.s01","sed.w01","sed.s02","sed.w02","sed.s03","sed.w03","sed.s04","sed.w04","sed.s05","sed.w05","sed.s06","sed.w06","sed.s07","sed.w07","sed.s08","sed.w08","sed.s09","sed.w09","sed.s10","sed.w10","sed.s11","sed.w11","sed.s12","sed.w12","sed.s13","sed.w13","sed.s14","sed.w14","sed.s15","sed.w15","sed.s16","sed.w16"
1,"South",962,1,8.65,0.1875,22,-3.635,-3.07833333333333,-2.13833333333333,-2.72833333333333,3.185,3.04833333333333,-2.72,-1.51166666666667,-3.885,-0.095,4.01833333333333,2.79666666666667,-2.90833333333333,-3.78833333333333,-3.14166666666667,-3.11833333333333,-2.52,-3.08333333333333,-1.38833333333333,-1.92166666666667,-4.60166666666667,-2.33,-2.15,-2.32,-1.74,0.0416666666666667,-2.065,-3.70166666666667,-0.658333333333333,-0.251666666666667,-3.76666666666667,-3.31166666666667,-2.66166666666667,-3.32166666666667,-3.70833333333333,-3.57333333333333,-4.48666666666667,-4.08,1.505,2.08333333333333,-0.265,1.12333333333333,-3.67625,-3.67625,-2.395,-2.395,3.325,3.325,-2.29125,-2.29125,-3.54375,-3.54375,3.93125,3.93125,-3.19125,-3.19125,-3.22125,-3.22125,-2.6625,-2.6625,-1.4625,-1.4625,-4.0375,-4.0375,-2.12625,-2.12625,-0.9925,-0.9925,-2.4,-2.4,-0.15375,-0.15375,-3.75625,-3.75625,-2.715,-2.715,-3.67,-3.67,-4.64125,-4.64125,1.445,1.445,0.17625,0.17625,92.769744160178,83.1007751937985,78.0867630700779,203.410852713178,114.349276974416,44.1860465116279,130.367074527252,25.5813953488372,87.9866518353726,94.7286821705426,90.5450500556174,42.9457364341085,83.3147942157953,76.8992248062015,92.4360400444939,81.0852713178294,70.4115684093437,96.4341085271318,72.5250278086763,16.2790697674419,149.388209121246,76.4341085271318,85.2057842046719,84.031007751938,118.020022246941,63.1007751937985,56.6184649610679,139.84496124031,101.11234705228,32.093023255814,117.797552836485,72.093023255814,98.1090100111235,60.3100775193798,101.446051167964,33.1782945736434,92.3248053392659,142.790697674419,110.678531701891,70.6976744186046,144.382647385984,99.8449612403101,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"South",1008,1,8.43,0.5,22,-3.635,-3.07833333333333,-2.13833333333333,-2.72833333333333,3.185,3.04833333333333,-2.72,-1.51166666666667,-3.885,-0.095,4.01833333333333,2.79666666666667,-2.90833333333333,-3.78833333333333,-3.14166666666667,-3.11833333333333,-2.52,-3.08333333333333,-1.38833333333333,-1.92166666666667,-4.60166666666667,-2.33,-2.15,-2.32,-1.74,0.0416666666666667,-2.065,-3.70166666666667,-0.658333333333333,-0.251666666666667,-3.76666666666667,-3.31166666666667,-2.66166666666667,-3.32166666666667,-3.70833333333333,-3.57333333333333,-4.48666666666667,-4.08,1.505,2.08333333333333,-0.265,1.12333333333333,-3.67625,-3.67625,-2.395,-2.395,3.325,3.325,-2.29125,-2.29125,-3.54375,-3.54375,3.93125,3.93125,-3.19125,-3.19125,-3.22125,-3.22125,-2.6625,-2.6625,-1.4625,-1.4625,-4.0375,-4.0375,-2.12625,-2.12625,-0.9925,-0.9925,-2.4,-2.4,-0.15375,-0.15375,-3.75625,-3.75625,-2.715,-2.715,-3.67,-3.67,-4.64125,-4.64125,1.445,1.445,0.17625,0.17625,92.769744160178,83.1007751937985,78.0867630700779,203.410852713178,114.349276974416,44.1860465116279,130.367074527252,25.5813953488372,87.9866518353726,94.7286821705426,90.5450500556174,42.9457364341085,83.3147942157953,76.8992248062015,92.4360400444939,81.0852713178294,70.4115684093437,96.4341085271318,72.5250278086763,16.2790697674419,149.388209121246,76.4341085271318,85.2057842046719,84.031007751938,118.020022246941,63.1007751937985,56.6184649610679,139.84496124031,101.11234705228,32.093023255814,117.797552836485,72.093023255814,98.1090100111235,60.3100775193798,101.446051167964,33.1782945736434,92.3248053392659,142.790697674419,110.678531701891,70.6976744186046,144.382647385984,99.8449612403101,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"South",1054,4,8.28,0.933333333333333,22,-3.635,-3.07833333333333,-2.13833333333333,-2.72833333333333,3.185,3.04833333333333,-2.72,-1.51166666666667,-3.885,-0.095,4.01833333333333,2.79666666666667,-2.90833333333333,-3.78833333333333,-3.14166666666667,-3.11833333333333,-2.52,-3.08333333333333,-1.38833333333333,-1.92166666666667,-4.60166666666667,-2.33,-2.15,-2.32,-1.74,0.0416666666666667,-2.065,-3.70166666666667,-0.658333333333333,-0.251666666666667,-3.76666666666667,-3.31166666666667,-2.66166666666667,-3.32166666666667,-3.70833333333333,-3.57333333333333,-4.48666666666667,-4.08,1.505,2.08333333333333,-0.265,1.12333333333333,-3.67625,-3.67625,-2.395,-2.395,3.325,3.325,-2.29125,-2.29125,-3.54375,-3.54375,3.93125,3.93125,-3.19125,-3.19125,-3.22125,-3.22125,-2.6625,-2.6625,-1.4625,-1.4625,-4.0375,-4.0375,-2.12625,-2.12625,-0.9925,-0.9925,-2.4,-2.4,-0.15375,-0.15375,-3.75625,-3.75625,-2.715,-2.715,-3.67,-3.67,-4.64125,-4.64125,1.445,1.445,0.17625,0.17625,92.769744160178,83.1007751937985,78.0867630700779,203.410852713178,114.349276974416,44.1860465116279,130.367074527252,25.5813953488372,87.9866518353726,94.7286821705426,90.5450500556174,42.9457364341085,83.3147942157953,76.8992248062015,92.4360400444939,81.0852713178294,70.4115684093437,96.4341085271318,72.5250278086763,16.2790697674419,149.388209121246,76.4341085271318,85.2057842046719,84.031007751938,118.020022246941,63.1007751937985,56.6184649610679,139.84496124031,101.11234705228,32.093023255814,117.797552836485,72.093023255814,98.1090100111235,60.3100775193798,101.446051167964,33.1782945736434,92.3248053392659,142.790697674419,110.678531701891,70.6976744186046,144.382647385984,99.8449612403101,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"South",1137,10,7.9,1,22,-3.635,-3.07833333333333,-2.13833333333333,-2.72833333333333,3.185,3.04833333333333,-2.72,-1.51166666666667,-3.885,-0.095,4.01833333333333,2.79666666666667,-2.90833333333333,-3.78833333333333,-3.14166666666667,-3.11833333333333,-2.52,-3.08333333333333,-1.38833333333333,-1.92166666666667,-4.60166666666667,-2.33,-2.15,-2.32,-1.74,0.0416666666666667,-2.065,-3.70166666666667,-0.658333333333333,-0.251666666666667,-3.76666666666667,-3.31166666666667,-2.66166666666667,-3.32166666666667,-3.70833333333333,-3.57333333333333,-4.48666666666667,-4.08,1.505,2.08333333333333,-0.265,1.12333333333333,-3.67625,-3.67625,-2.395,-2.395,3.325,3.325,-2.29125,-2.29125,-3.54375,-3.54375,3.93125,3.93125,-3.19125,-3.19125,-3.22125,-3.22125,-2.6625,-2.6625,-1.4625,-1.4625,-4.0375,-4.0375,-2.12625,-2.12625,-0.9925,-0.9925,-2.4,-2.4,-0.15375,-0.15375,-3.75625,-3.75625,-2.715,-2.715,-3.67,-3.67,-4.64125,-4.64125,1.445,1.445,0.17625,0.17625,92.769744160178,83.1007751937985,78.0867630700779,203.410852713178,114.349276974416,44.1860465116279,130.367074527252,25.5813953488372,87.9866518353726,94.7286821705426,90.5450500556174,42.9457364341085,83.3147942157953,76.8992248062015,92.4360400444939,81.0852713178294,70.4115684093437,96.4341085271318,72.5250278086763,16.2790697674419,149.388209121246,76.4341085271318,85.2057842046719,84.031007751938,118.020022246941,63.1007751937985,56.6184649610679,139.84496124031,101.11234705228,32.093023255814,117.797552836485,72.093023255814,98.1090100111235,60.3100775193798,101.446051167964,33.1782945736434,92.3248053392659,142.790697674419,110.678531701891,70.6976744186046,144.382647385984,99.8449612403101,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"South",1236,1,6.64,0.846153846153846,22,-3.635,-3.07833333333333,-2.13833333333333,-2.72833333333333,3.185,3.04833333333333,-2.72,-1.51166666666667,-3.885,-0.095,4.01833333333333,2.79666666666667,-2.90833333333333,-3.78833333333333,-3.14166666666667,-3.11833333333333,-2.52,-3.08333333333333,-1.38833333333333,-1.92166666666667,-4.60166666666667,-2.33,-2.15,-2.32,-1.74,0.0416666666666667,-2.065,-3.70166666666667,-0.658333333333333,-0.251666666666667,-3.76666666666667,-3.31166666666667,-2.66166666666667,-3.32166666666667,-3.70833333333333,-3.57333333333333,-4.48666666666667,-4.08,1.505,2.08333333333333,-0.265,1.12333333333333,-3.67625,-3.67625,-2.395,-2.395,3.325,3.325,-2.29125,-2.29125,-3.54375,-3.54375,3.93125,3.93125,-3.19125,-3.19125,-3.22125,-3.22125,-2.6625,-2.6625,-1.4625,-1.4625,-4.0375,-4.0375,-2.12625,-2.12625,-0.9925,-0.9925,-2.4,-2.4,-0.15375,-0.15375,-3.75625,-3.75625,-2.715,-2.715,-3.67,-3.67,-4.64125,-4.64125,1.445,1.445,0.17625,0.17625,92.769744160178,83.1007751937985,78.0867630700779,203.410852713178,114.349276974416,44.1860465116279,130.367074527252,25.5813953488372,87.9866518353726,94.7286821705426,90.5450500556174,42.9457364341085,83.3147942157953,76.8992248062015,92.4360400444939,81.0852713178294,70.4115684093437,96.4341085271318,72.5250278086763,16.2790697674419,149.388209121246,76.4341085271318,85.2057842046719,84.031007751938,118.020022246941,63.1007751937985,56.6184649610679,139.84496124031,101.11234705228,32.093023255814,117.797552836485,72.093023255814,98.1090100111235,60.3100775193798,101.446051167964,33.1782945736434,92.3248053392659,142.790697674419,110.678531701891,70.6976744186046,144.382647385984,99.8449612403101,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"South",1263,2,6.51,0.916666666666667,22,-3.635,-3.07833333333333,-2.13833333333333,-2.72833333333333,3.185,3.04833333333333,-2.72,-1.51166666666667,-3.885,-0.095,4.01833333333333,2.79666666666667,-2.90833333333333,-3.78833333333333,-3.14166666666667,-3.11833333333333,-2.52,-3.08333333333333,-1.38833333333333,-1.92166666666667,-4.60166666666667,-2.33,-2.15,-2.32,-1.74,0.0416666666666667,-2.065,-3.70166666666667,-0.658333333333333,-0.251666666666667,-3.76666666666667,-3.31166666666667,-2.66166666666667,-3.32166666666667,-3.70833333333333,-3.57333333333333,-4.48666666666667,-4.08,1.505,2.08333333333333,-0.265,1.12333333333333,-3.67625,-3.67625,-2.395,-2.395,3.325,3.325,-2.29125,-2.29125,-3.54375,-3.54375,3.93125,3.93125,-3.19125,-3.19125,-3.22125,-3.22125,-2.6625,-2.6625,-1.4625,-1.4625,-4.0375,-4.0375,-2.12625,-2.12625,-0.9925,-0.9925,-2.4,-2.4,-0.15375,-0.15375,-3.75625,-3.75625,-2.715,-2.715,-3.67,-3.67,-4.64125,-4.64125,1.445,1.445,0.17625,0.17625,92.769744160178,83.1007751937985,78.0867630700779,203.410852713178,114.349276974416,44.1860465116279,130.367074527252,25.5813953488372,87.9866518353726,94.7286821705426,90.5450500556174,42.9457364341085,83.3147942157953,76.8992248062015,92.4360400444939,81.0852713178294,70.4115684093437,96.4341085271318,72.5250278086763,16.2790697674419,149.388209121246,76.4341085271318,85.2057842046719,84.031007751938,118.020022246941,63.1007751937985,56.6184649610679,139.84496124031,101.11234705228,32.093023255814,117.797552836485,72.093023255814,98.1090100111235,60.3100775193798,101.446051167964,33.1782945736434,92.3248053392659,142.790697674419,110.678531701891,70.6976744186046,144.382647385984,99.8449612403101,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"South",1327,1,6.15,0.888888888888889,22,-3.635,-3.07833333333333,-2.13833333333333,-2.72833333333333,3.185,3.04833333333333,-2.72,-1.51166666666667,-3.885,-0.095,4.01833333333333,2.79666666666667,-2.90833333333333,-3.78833333333333,-3.14166666666667,-3.11833333333333,-2.52,-3.08333333333333,-1.38833333333333,-1.92166666666667,-4.60166666666667,-2.33,-2.15,-2.32,-1.74,0.0416666666666667,-2.065,-3.70166666666667,-0.658333333333333,-0.251666666666667,-3.76666666666667,-3.31166666666667,-2.66166666666667,-3.32166666666667,-3.70833333333333,-3.57333333333333,-4.48666666666667,-4.08,1.505,2.08333333333333,-0.265,1.12333333333333,-3.67625,-3.67625,-2.395,-2.395,3.325,3.325,-2.29125,-2.29125,-3.54375,-3.54375,3.93125,3.93125,-3.19125,-3.19125,-3.22125,-3.22125,-2.6625,-2.6625,-1.4625,-1.4625,-4.0375,-4.0375,-2.12625,-2.12625,-0.9925,-0.9925,-2.4,-2.4,-0.15375,-0.15375,-3.75625,-3.75625,-2.715,-2.715,-3.67,-3.67,-4.64125,-4.64125,1.445,1.445,0.17625,0.17625,92.769744160178,83.1007751937985,78.0867630700779,203.410852713178,114.349276974416,44.1860465116279,130.367074527252,25.5813953488372,87.9866518353726,94.7286821705426,90.5450500556174,42.9457364341085,83.3147942157953,76.8992248062015,92.4360400444939,81.0852713178294,70.4115684093437,96.4341085271318,72.5250278086763,16.2790697674419,149.388209121246,76.4341085271318,85.2057842046719,84.031007751938,118.020022246941,63.1007751937985,56.6184649610679,139.84496124031,101.11234705228,32.093023255814,117.797552836485,72.093023255814,98.1090100111235,60.3100775193798,101.446051167964,33.1782945736434,92.3248053392659,142.790697674419,110.678531701891,70.6976744186046,144.382647385984,99.8449612403101,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"South",1342,1,6.1,0.888888888888889,22,-3.635,-3.07833333333333,-2.13833333333333,-2.72833333333333,3.185,3.04833333333333,-2.72,-1.51166666666667,-3.885,-0.095,4.01833333333333,2.79666666666667,-2.90833333333333,-3.78833333333333,-3.14166666666667,-3.11833333333333,-2.52,-3.08333333333333,-1.38833333333333,-1.92166666666667,-4.60166666666667,-2.33,-2.15,-2.32,-1.74,0.0416666666666667,-2.065,-3.70166666666667,-0.658333333333333,-0.251666666666667,-3.76666666666667,-3.31166666666667,-2.66166666666667,-3.32166666666667,-3.70833333333333,-3.57333333333333,-4.48666666666667,-4.08,1.505,2.08333333333333,-0.265,1.12333333333333,-3.67625,-3.67625,-2.395,-2.395,3.325,3.325,-2.29125,-2.29125,-3.54375,-3.54375,3.93125,3.93125,-3.19125,-3.19125,-3.22125,-3.22125,-2.6625,-2.6625,-1.4625,-1.4625,-4.0375,-4.0375,-2.12625,-2.12625,-0.9925,-0.9925,-2.4,-2.4,-0.15375,-0.15375,-3.75625,-3.75625,-2.715,-2.715,-3.67,-3.67,-4.64125,-4.64125,1.445,1.445,0.17625,0.17625,92.769744160178,83.1007751937985,78.0867630700779,203.410852713178,114.349276974416,44.1860465116279,130.367074527252,25.5813953488372,87.9866518353726,94.7286821705426,90.5450500556174,42.9457364341085,83.3147942157953,76.8992248062015,92.4360400444939,81.0852713178294,70.4115684093437,96.4341085271318,72.5250278086763,16.2790697674419,149.388209121246,76.4341085271318,85.2057842046719,84.031007751938,118.020022246941,63.1007751937985,56.6184649610679,139.84496124031,101.11234705228,32.093023255814,117.797552836485,72.093023255814,98.1090100111235,60.3100775193798,101.446051167964,33.1782945736434,92.3248053392659,142.790697674419,110.678531701891,70.6976744186046,144.382647385984,99.8449612403101,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"South",1357,1,5.95,0.777777777777778,22,-3.635,-3.07833333333333,-2.13833333333333,-2.72833333333333,3.185,3.04833333333333,-2.72,-1.51166666666667,-3.885,-0.095,4.01833333333333,2.79666666666667,-2.90833333333333,-3.78833333333333,-3.14166666666667,-3.11833333333333,-2.52,-3.08333333333333,-1.38833333333333,-1.92166666666667,-4.60166666666667,-2.33,-2.15,-2.32,-1.74,0.0416666666666667,-2.065,-3.70166666666667,-0.658333333333333,-0.251666666666667,-3.76666666666667,-3.31166666666667,-2.66166666666667,-3.32166666666667,-3.70833333333333,-3.57333333333333,-4.48666666666667,-4.08,1.505,2.08333333333333,-0.265,1.12333333333333,-3.67625,-3.67625,-2.395,-2.395,3.325,3.325,-2.29125,-2.29125,-3.54375,-3.54375,3.93125,3.93125,-3.19125,-3.19125,-3.22125,-3.22125,-2.6625,-2.6625,-1.4625,-1.4625,-4.0375,-4.0375,-2.12625,-2.12625,-0.9925,-0.9925,-2.4,-2.4,-0.15375,-0.15375,-3.75625,-3.75625,-2.715,-2.715,-3.67,-3.67,-4.64125,-4.64125,1.445,1.445,0.17625,0.17625,92.769744160178,83.1007751937985,78.0867630700779,203.410852713178,114.349276974416,44.1860465116279,130.367074527252,25.5813953488372,87.9866518353726,94.7286821705426,90.5450500556174,42.9457364341085,83.3147942157953,76.8992248062015,92.4360400444939,81.0852713178294,70.4115684093437,96.4341085271318,72.5250278086763,16.2790697674419,149.388209121246,76.4341085271318,85.2057842046719,84.031007751938,118.020022246941,63.1007751937985,56.6184649610679,139.84496124031,101.11234705228,32.093023255814,117.797552836485,72.093023255814,98.1090100111235,60.3100775193798,101.446051167964,33.1782945736434,92.3248053392659,142.790697674419,110.678531701891,70.6976744186046,144.382647385984,99.8449612403101,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
